"%","Origin Offset","X","Y",,,,,,,,
48,1,1,20.32,41.91,0,0.5,1,"C3",49,"A0402",
49,1,1,21.59,41.91,0,0.5,1,"C4",50,"A0402",
50,1,1,22.86,41.91,0,0.5,1,"C5",51,"A0402",
51,1,1,24.13,41.91,0,0.5,1,"C6",52,"A0402",
52,1,1,25.4,41.91,0,0.5,1,"C7",53,"A0402",
53,1,1,26.67,41.91,0,0.5,1,"C8",54,"A0402",
54,1,1,27.94,41.91,0,0.5,1,"C9",55,"A0402",
55,1,1,29.21,41.91,0,0.5,1,"C10",56,"A0402",
56,1,1,30.48,41.91,0,0.5,1,"C11",57,"A0402",
57,1,1,31.75,41.91,0,0.5,1,"C12",58,"A0402",
58,1,1,33.02,41.91,0,0.5,1,"C13",59,"A0402",
59,1,1,34.29,41.91,0,0.5,1,"C14",60,"A0402",
60,1,1,35.56,41.91,0,0.5,1,"C15",61,"A0402",
61,1,1,36.83,41.91,0,0.5,1,"C16",62,"A0402",
62,1,1,38.1,41.91,0,0.5,1,"C17",63,"A0402",
63,1,1,39.37,40.64,90,0.5,1,"C18",64,"A0402",
64,1,1,39.37,39.37,90,0.5,1,"C19",65,"A0402",
65,1,1,39.37,38.1,90,0.5,1,"C20",66,"A0402",
66,1,1,39.37,36.83,90,0.5,1,"C21",67,"A0402",
67,1,1,39.37,35.56,90,0.5,1,"C22",68,"A0402",
68,1,1,39.37,34.29,90,0.5,1,"C23",69,"A0402",
69,1,1,39.37,33.02,90,0.5,1,"C24",70,"A0402",
70,1,1,39.37,31.75,90,0.5,1,"C25",71,"A0402",
71,1,1,39.37,30.48,90,0.5,1,"C26",72,"A0402",
72,1,1,39.37,29.21,90,0.5,1,"C27",73,"A0402",
73,1,1,39.37,27.94,90,0.5,1,"C28",74,"A0402",
74,1,1,39.37,26.67,90,0.5,1,"C29",75,"A0402",
75,1,1,39.37,25.4,90,0.5,1,"C30",76,"A0402",
76,1,1,39.37,24.13,90,0.5,1,"C31",77,"A0402",
77,1,1,39.37,22.86,90,0.5,1,"C32",78,"A0402",
78,1,1,39.37,21.59,90,0.5,1,"C33",79,"A0402",
79,1,1,39.37,20.32,90,0.5,1,"C34",80,"A0402",
